node_id,CONSUM,code
14274,384,PR0022526
1432,357,PR0021126
14339,5796,PR0022513
1434,0,PR0021125
14340,5796,PR0022512
14341,5796,PR0022511
14344,5796,PR0022510
14345,384,PR0022509
1435,3018,PR0021124
14352,124,PR0022508
14355,124,PR0022507
14359,124,PR0022505
14360,124,PR0022506
14367,384,PR0022504
14371,384,PR0022503
14375,384,PR0022502
1438,3018,PR0021123
14380,384,PR0022501
14387,384,PR0022500
14389,384,PR0022499
14391,384,PR0022497
14392,384,PR0022498
14403,384,PR0022496
14404,384,PR0022495
14406,384,PR0022494
14411,384,PR0022492
14412,384,PR0022493
14414,124,PR0022491
14415,2646,PR0022490
14419,2646,PR0022489
14426,2646,PR0022487
14427,2646,PR0022488
1443,3018,PR0021122
14434,240,PR0022486
14436,240,PR0022485
14438,240,PR0022484
14442,240,PR0022483
14447,240,PR0022481
14448,240,PR0022482
1446,3018,PR0021121
1449,990,PR0021120
1451,3018,PR0021119
1455,990,PR0020724
14552,115,PR0022479
14554,40021,PR0022478
1457,173,PR0020723
1459,173,PR0020722
14592,0,PR0022469
14601,102,PR0022468
1461,2464,PR0020721
14615,32,PR0022467
14621,108,PR0022465
14622,44,PR0022466
14623,690,PR0001099
1463,2464,PR0020720
14639,185,PR0022464
14647,4400,PR0022463
14649,1902,PR0001397
1465,85,PR0020718
14654,652,PR0022462
1466,85,PR0020719
14670,1650,PR0022461
14685,294,PR0021492
14711,188,PR0030230
14716,100,PR0022460
14717,168,PR0022459
14720,1640,PR0030232
14722,1746,PR0005246
14723,1746,PR0030231
14739,3696,PR0020574
14757,4498,PR0022458
14762,114,PR0010028
14765,70,PR0010055
14768,114,PR0022457
14770,285,PR0010056
14775,96,PR0022456
14776,120,PR0022455
14779,81,PR0022444
14781,210,PR0022443
14845,744,PR0022442
14846,435,PR0021698
14854,525,PR0022440
14855,525,PR0022441
14860,336,PR0022439
14868,1800,PR0022438
14871,351,PR0022437
14872,351,PR0002901
14875,495,PR0002900
14876,351,PR0022436
14879,387,PR0002906
14880,1800,PR0002913
14888,351,PR0010044
14891,552,PR0010053
14893,160,PR0022435
14895,160,PR0022434
14897,306,PR0022433
14899,1781,PR0022431
14903,435,PR0010069
14904,495,PR0010031
14909,4344,PR0022429
14913,4344,PR0022428
14917,6749,PR0022426
14919,26795,PR0022424
14920,6749,PR0022425
14961,0,PR0022419
14968,65,PR0022417
14969,72,PR0022418
14987,21,PR0022413
14990,22,PR0022412
14995,168,PR0022410
14996,90,PR0022411
1501,172,PR0020564
15018,81,PR0010206
15019,21,PR0010207
15020,21,PR0010195
15021,21,PR0010194
15050,8151,PR0030016
15052,8151,PR0001328
15053,8151,PR0001184
15079,100,PR0002691
15086,288,PR0010176
15087,288,PR0010177
15092,288,PR0022401
15094,288,PR0022400
15096,288,PR0022399
15098,288,PR0022397
15099,288,PR0022398
15130,1107,PR0022394
1514,132,PR0020557
1515,85,PR0020563
15152,1715,PR0022392
15154,1715,PR0022391
15156,20826,PR0022390
15158,20826,PR0022389
1516,85,PR0020562
15160,20826,PR0022388
15162,3080,PR0022387
15165,7038,PR0022385
15166,1520,PR0022386
1517,85,PR0020561
15173,3,PR0022384
1518,85,PR0020558
15181,248,PR0022383
15184,248,PR0022382
15187,248,PR0022381
15188,248,PR0020635
1519,173,PR0020547
15190,248,PR0022380
15192,248,PR0022379
15194,248,PR0022378
15196,126,PR0022377
15198,126,PR0022376
1520,2464,PR0020550
15200,0,PR0022375
15202,165,PR0022374
15204,165,PR0022373
15206,664,PR0022372
15208,664,PR0022371
1521,76,PR0020551
15210,286,PR0022370
15219,0,PR0021108
1522,172,PR0020554
15228,66,PR0022369
1523,555,PR0020556
15231,66,PR0022368
15232,36,PR0022366
15233,36,PR0022367
15235,180,PR0022365
15238,180,PR0022364
15239,180,PR0022363
1524,85,PR0020560
15241,180,PR0022362
15244,69,PR0022361
1525,85,PR0020559
1526,173,PR0020548
15269,801,PR0022357
1527,2464,PR0020549
15271,63,PR0022356
1528,76,PR0020552
1529,172,PR0020553
15290,1260,PR0022354
15291,5439,PR0022355
1530,555,PR0020555
