code,node_id_old,node_id_new
PR0002554,41600,19982
PR0002553,41601,19983
PR0002784,42219,20117
PR0002773,42220,20118
PR0003650,42561,20214
PR0003649,42563,20216
PR0003629,42577,20230
PR0002457,43354,20327
PR0005218,28582,17602
PR0010096,37608,19034
PR0010094,37610,19036
PR0010093,37611,19037
PR0010078,37613,19039
PR0002862,37806,19081
PR0002707,37909,19133
PR0002559,40732,19796
PR0002557,40734,19798
PR0002403,43363,20328
PR0011003,43591,20413
PR0001395,43825,20464
PR0010856,43880,20477
PR0010857,43881,20478
PR0010522,44432,20539
PR0010521,44433,20540
PR0010485,44595,20555
PR0003831,46480,21062
PR0003823,46481,21063
PR0003824,46482,21064
PR0003825,46483,21065
PR0003826,46484,21066
PR0015093,41558,19965
PR0003284,52262,22187
PR0030350,2793,13407
PR0030090,2794,13408
PR0024204,1277,13184
PR0020156,34954,18478
PR0020154,34959,18480
PR0020152,34963,18482
PR0000775,47858,21404
PR0011105,47935,21405
PR0002191,47977,21415
PR0002422,48353,21466
PR0002467,48369,21481
PR0010901,48969,21628
PR0010875,49468,21645
PR0010870,49472,21646
PR0010874,49477,21647
PR0005528,50162,21757
PR0000653,50178,21773
PR0000815,50180,21774
PR0000654,50181,21775
PR0000674,50193,21787
PR0002817,40704,19772
PR0001555,41588,19971
PR0003703,46279,20871
PR0030279,6385,13942
PR0010743,50489,21887
PR0010744,50492,21888
PR0000421,51190,21971
PR0000414,51191,21972
PR0000567,51211,21986
PR0000425,51307,22067
PR0000418,51308,22068
PR0000391,51310,22069
PR0000384,51311,22070
PR0010714,51413,22082
PR0003306,52209,22153
PR0003305,52211,22154
PR0003267,52240,22165
PR0003262,52241,22166
PR0003155,52327,22248
PR0003093,52364,22285
PR0023124,10020,14500
PR0003069,52375,22296
PR0003068,52377,22297
PR0003342,27692,17380
PR0003344,27693,17381
PR0010758,46829,21195
PR0010611,47105,21247
PR0000129,47107,21249
PR0022435,14893,15072
PR0021389,21824,15972
PR0021388,21825,15973
PR0005207,28610,17614
PR0005206,28612,17615
PR0005205,28614,17616
PR0009118,25,13278
PR0021362,22019,15991
PR0021274,22413,16052
PR0004966,24461,16220
PR0005204,28616,17617
PR0020520,28836,17636
PR0003202,28985,17656
PR0003320,29035,17670
PR0003190,29041,17671
PR0003189,29047,17672
PR0003048,29057,17674
PR0004543,24551,16236
PR0003047,29060,17675
PR0020492,29228,17697
PR0020435,30286,17745
PR0020434,30287,17746
PR0010133,30494,17800
PR0010167,30514,17814
PR0023958,3860,13541
PR0030052,24601,16252
PR0023955,3868,13543
PR0023942,3998,13560
PR0023940,4019,13561
PR0023941,4020,13562
PR0010172,30522,17815
PR0030002,30561,17828
PR0003209,31256,17949
PR0020303,32129,17965
PR0020304,32130,17966
PR0020292,32131,17967
PR0023240,9544,12997
PR0023239,9546,12998
PR0023238,9548,12999
PR0001812,46336,13013
PR0001908,46349,13014
PR0002148,20,13029
PR0005037,21,13030
PR0020475,22,13031
PR0003839,23,13032
PR0005346,24602,16253
PR0004650,24607,16255
PR0020295,32143,17968
PR0024344,101,13045
PR0024343,103,13046
PR0024342,107,13047
PR0024327,246,13059
PR0024326,261,13060
PR0024325,262,13061
PR0021047,24771,16326
PR0021046,24773,16327
PR0021033,24805,16341
PR0003075,32304,18014
PR0005545,32332,18029
PR0005543,32334,18030
PR0004075,32489,18078
PR0024324,263,13062
PR0024313,375,13075
PR0024312,383,13076
PR0021358,466,13106
PR0024282,467,13107
PR0024279,503,13109
PR0021157,1322,13196
PR0021032,24806,16342
PR0005278,32498,18079
PR0050003,34091,18205
PR0050002,34092,18206
PR0024248,817,13137
PR0024203,1282,13185
PR0021154,1330,13199
PR0021153,1333,13200
PR0021158,1400,13215
PR0024186,1582,13258
PR0024184,1599,13259
PR0050001,34093,18207
PR0020005,34104,18218
PR0030321,6293,13910
PR0002072,6298,13911
PR0030298,6365,13924
PR0002221,34105,18219
PR0005313,34186,18285
PR0005325,34211,18301
PR0020004,34286,18332
PR0002195,34288,18333
PR0024153,1871,13294
PR0020276,1987,13306
PR0022611,1988,13307
PR0022609,1989,13308
PR0030353,2001,13309
PR0030356,2002,13310
PR0020981,24912,16356
PR0021319,25070,16387
PR0030053,25071,16388
PR0000799,34311,18345
PR0000797,34315,18346
PR0000792,34317,18347
PR0001370,2143,13334
PR0024139,2162,13335
PR0030359,2333,13347
PR0024131,2341,13348
PR0024085,2841,13416
PR0024130,2350,13349
PR0000744,2623,13383
PR0000739,2627,13384
PR0000751,2631,13385
PR0024100,2640,13386
PR0024099,2642,13387
PR0000791,34319,18348
PR0020250,34527,18411
PR0000340,34532,18413
PR0030234,2796,13409
PR0000486,3040,13432
PR0024060,3080,13436
PR0024028,3339,13466
