code,longitude,latitude,pat1,value,dwfscencario_id,node_id
PR0023089,41.96709401470543,2.8356389663172274,hora,0.0471680631782514,2,14532
PR0023088,41.96695120069591,2.8358445365926084,hora,0.0471680631782514,2,14533
PR0023087,41.96682751083404,2.836023155091456,hora,0.0471680631782514,2,14534
PR0023086,41.96670113612101,2.836209112483062,hora,0.0471680631782514,2,14535
PR0023085,41.96654208482267,2.8364397248779776,hora,0.0471680631782514,2,14536
PR0023084,41.96646373634652,2.836551386776932,hora,6.585782693679872,2,14537
PR0023083,41.96635764689166,2.836707060630847,hora,6.585782693679872,2,14538
PR0023081,41.96612428371935,2.8370497409659987,hora,6.585782693679872,2,14539
PR0023082,41.9662179126132,2.836912086889342,hora,6.585782693679872,2,14540
PR0023080,41.984815123825534,2.8277950079959933,hora,20.325326693186764,2,14541
PR0023079,41.98462864664664,2.827819065903825,hora,20.325326693186764,2,14542
PR0024343,41.99213988326981,2.81006810223062,hora,30.15890438772156,2,13046
PR0023075,41.9938655715297,2.808309971444041,hora,0.2951191450024275,2,14543
PR0000424,41.99745894498753,2.8320859240890144,hora,0.0202084501634358,2,14544
PR0023074,41.97446969464494,2.827488303011755,hora,2.895882718851398,2,14545
PR0024230,41.98136204779341,2.8248377649221394,hora,0.4037632225531323,2,13152
PR0024229,41.981319126998265,2.8248434457945057,hora,0.4037632225531323,2,13153
PR0024228,41.98103580370452,2.8248353410621148,hora,0.0129757713049607,2,13154
PR0023073,41.9910888541402,2.805281792857472,hora,14.399418308932312,2,14546
PR0023072,41.99097909838129,2.8046910183636204,hora,0.0437032375358366,2,14547
PR0023071,41.99077707642186,2.803609060303368,hora,0.1281961634384542,2,14548
PR0023070,41.9906828185657,2.8031166387241613,hora,0.0482816719443528,2,14549
PR0023068,41.99183068458474,2.803850146335986,hora,0.0566060981416551,2,14550
PR0023069,41.99132917898021,2.804014800717988,hora,0.0566060981416551,2,14551
PR0023067,41.990881366044896,2.804165306863609,hora,0.0566060981416551,2,14552
PR0023066,41.99060751449544,2.804253599786424,hora,3.3917039526978434,2,14553
PR0024227,41.99444065723705,2.821171119279684,hora,13.907692208450886,2,13155
PR0023064,41.989756451871855,2.8045334859257403,hora,3.3917039526978434,2,14554
PR0023065,41.99017391389081,2.8043965504105444,hora,3.3917039526978434,2,14555
